scan_utc,score,symbol,type,expiry,dte,strike,spot,mid,delta,leverage,iv,rv,volume,open_int,vol_oi,spread_pct
2026-07-23 15:35,73.2,SPY,call,2026-08-21,28,785.0,736.44,0.28,0.032,0.87,0.117,0.133,4210,5496,0.77,0.036
2026-07-23 15:35,73.1,SPY,call,2026-07-31,7,761.0,736.44,0.36,0.041,0.82,0.132,0.133,9357,10497,0.89,0.027
2026-07-23 15:35,73.1,SPY,call,2026-08-14,21,780.0,736.44,0.21,0.027,0.92,0.118,0.133,1973,2960,0.67,0.047
2026-07-23 15:35,72.7,SPY,call,2026-07-31,7,760.0,736.44,0.43,0.048,0.82,0.132,0.133,9011,15807,0.57,0.023
2026-07-23 15:35,72.2,SPY,call,2026-08-21,28,790.0,736.44,0.17,0.021,0.92,0.117,0.133,1861,18027,0.1,0.061
2026-07-23 15:35,72.1,SPY,call,2026-08-07,14,771.0,736.44,0.26,0.032,0.92,0.121,0.133,1256,1188,1.06,0.039
2026-07-23 15:35,72.1,SPY,call,2026-08-21,28,787.0,736.44,0.23,0.027,0.89,0.117,0.133,2163,1381,1.57,0.044
2026-07-23 15:35,72.1,SPY,call,2026-07-31,7,765.0,736.44,0.17,0.018,0.82,0.128,0.133,6080,9892,0.61,0.061
2026-07-23 15:35,72.1,SPY,call,2026-08-14,21,781.0,736.44,0.18,0.024,0.94,0.117,0.133,898,556,1.62,0.054
2026-07-23 15:35,72.0,SPY,call,2026-08-07,14,776.0,736.44,0.11,0.015,0.97,0.119,0.133,679,556,1.22,0.087
2026-07-23 15:35,71.5,SPY,call,2026-08-07,14,770.0,736.44,0.3,0.037,0.91,0.122,0.133,1284,1907,0.67,0.067
2026-07-23 15:35,71.3,SPY,call,2026-07-31,7,770.0,736.44,0.07,0.007,0.79,0.128,0.133,8275,15802,0.52,0.154
2026-07-23 15:35,70.4,SPY,call,2026-08-21,28,780.0,736.44,0.48,0.052,0.8,0.119,0.133,2072,24786,0.08,0.021
2026-07-23 15:35,70.3,SPY,call,2026-08-07,14,769.0,736.44,0.35,0.043,0.9,0.122,0.133,891,828,1.08,0.057
2026-07-23 15:35,70.3,SPY,call,2026-08-07,14,772.0,736.44,0.21,0.026,0.94,0.119,0.133,480,894,0.54,0.049
