scan_utc,score,symbol,type,expiry,dte,strike,spot,mid,delta,leverage,iv,rv,volume,open_int,vol_oi,spread_pct
2026-08-12 14:42,52.3,NVDA,call,2026-08-21,8,230.0,224.74,2.5,0.323,0.29,0.311,0.417,15286,90638,0.17,0.008
2026-08-12 14:42,51.1,NVDA,call,2026-08-21,8,235.0,224.74,1.27,0.178,0.32,0.312,0.417,4773,33420,0.14,0.016
2026-08-12 14:42,50.1,SPY,call,2026-08-21,8,800.0,772.9,0.14,0.018,1.03,0.107,0.14,2862,19014,0.15,0.074
2026-08-12 14:42,50.0,NVDA,call,2026-08-21,8,240.0,224.74,0.66,0.092,0.31,0.323,0.417,4216,43218,0.1,0.015
2026-08-12 14:42,49.9,AAPL,call,2026-08-21,8,320.0,302.65,0.43,0.064,0.44,0.24,0.32,3395,26444,0.13,0.069
2026-08-12 14:42,49.8,NVDA,call,2026-08-28,15,240.0,224.74,2.73,0.235,0.19,0.412,0.417,10215,18743,0.55,0.018
2026-08-12 14:42,49.6,SPY,put,2026-08-21,8,750.0,772.9,0.61,-0.053,0.67,0.131,0.14,4357,58867,0.07,0.016
2026-08-12 14:42,49.3,AAPL,call,2026-08-21,8,310.0,302.65,1.89,0.257,0.41,0.232,0.32,4156,30286,0.14,0.027
2026-08-12 14:42,49.2,SPY,put,2026-08-21,8,765.0,772.9,2.23,-0.229,0.8,0.104,0.14,6451,38093,0.17,0.004
2026-08-12 14:42,48.7,SPY,call,2026-08-21,8,785.0,772.9,1.08,0.155,1.11,0.096,0.14,1309,81419,0.02,0.009
2026-08-12 14:42,48.7,SPY,call,2026-08-31,18,800.0,772.9,0.7,0.086,0.95,0.105,0.14,1407,9783,0.14,0.029
2026-08-12 14:42,48.5,NVDA,call,2026-09-11,29,240.0,224.74,4.2,0.296,0.16,0.374,0.417,4547,2875,1.58,0.024
2026-08-12 14:42,48.4,AAPL,call,2026-08-21,8,315.0,302.65,0.93,0.133,0.44,0.233,0.32,1394,14822,0.09,0.011
2026-08-12 14:42,48.2,TSLA,call,2026-08-21,8,340.0,325.11,3.12,0.235,0.24,0.393,0.566,1580,7653,0.21,0.016
2026-08-12 14:42,48.0,SPY,call,2026-08-20,7,792.0,772.9,0.26,0.039,1.17,0.096,0.14,450,36,12.5,0.039
