scan_utc,score,symbol,type,expiry,dte,strike,spot,mid,delta,leverage,iv,rv,volume,open_int,vol_oi,spread_pct
2026-06-24 17:38,49.5,SPY,call,2026-07-17,22,775.0,731.87,0.49,0.049,0.74,0.133,0.154,4168,11110,0.38,0.041
2026-06-24 17:38,49.3,NVDA,call,2026-07-02,7,207.5,197.59,1.4,0.187,0.26,0.38,0.415,8403,5496,1.53,0.007
2026-06-24 17:38,49.1,NVDA,call,2026-07-02,7,205.0,197.59,2.07,0.262,0.25,0.39,0.415,11599,8570,1.35,0.019
2026-06-24 17:38,49.1,SPY,call,2026-07-17,22,770.0,731.87,0.88,0.08,0.66,0.138,0.154,3088,23204,0.13,0.023
2026-06-24 17:38,48.7,SPY,call,2026-07-17,22,765.0,731.87,1.5,0.121,0.59,0.143,0.154,3940,13158,0.3,0.013
2026-06-24 17:38,48.2,NVDA,call,2026-07-02,7,210.0,197.59,0.98,0.134,0.27,0.382,0.415,8223,12782,0.64,0.03
2026-06-24 17:38,48.2,SPY,put,2026-07-17,22,702.0,731.87,3.58,-0.16,0.33,0.186,0.154,14055,16186,0.87,0.008
2026-06-24 17:38,47.9,SPY,put,2026-07-17,22,698.0,731.87,3.13,-0.139,0.32,0.192,0.154,12721,12705,1.0,0.006
2026-06-24 17:38,47.7,NVDA,put,2026-07-02,7,195.0,197.59,2.59,-0.363,0.28,0.309,0.415,11495,7693,1.49,0.019
2026-06-24 17:38,47.6,NVDA,call,2026-07-02,7,202.5,197.59,2.91,0.343,0.23,0.397,0.415,7239,1432,5.06,0.007
2026-06-24 17:38,47.5,NVDA,put,2026-07-17,22,190.0,197.59,3.45,-0.291,0.17,0.335,0.415,3944,35952,0.11,0.029
2026-06-24 17:38,47.3,SPY,call,2026-07-02,7,760.0,731.87,0.29,0.03,0.77,0.141,0.154,1989,8386,0.24,0.069
2026-06-24 17:38,47.2,SPY,call,2026-07-02,7,755.0,731.87,0.73,0.072,0.72,0.149,0.154,2789,4644,0.6,0.014
2026-06-24 17:38,47.2,NVDA,put,2026-07-17,22,200.0,197.59,7.3,-0.536,0.15,0.3,0.415,81018,106707,0.76,0.014
2026-06-24 17:38,47.1,NVDA,put,2026-07-17,22,185.0,197.59,2.27,-0.2,0.17,0.349,0.415,4008,22096,0.18,0.013
