scan_utc,score,symbol,type,expiry,dte,strike,spot,mid,delta,leverage,iv,rv,volume,open_int,vol_oi,spread_pct
2026-08-26 14:24,51.2,SPY,call,2026-09-18,22,802.0,765.51,0.43,0.052,0.92,0.109,0.136,1399,1407,0.99,0.023
2026-08-26 14:24,51.1,SPY,put,2026-09-04,8,760.0,765.51,3.31,-0.308,0.71,0.112,0.136,9632,44755,0.22,0.009
2026-08-26 14:24,50.6,SPY,call,2026-10-02,36,811.0,765.51,0.69,0.069,0.77,0.113,0.136,452,22,20.55,0.015
2026-08-26 14:24,49.8,TSLA,call,2026-09-11,15,370.0,347.42,4.7,0.251,0.19,0.423,0.569,2960,3854,0.77,0.021
2026-08-26 14:24,49.1,SPY,call,2026-09-25,29,785.0,765.51,3.64,0.265,0.56,0.119,0.136,2377,2118,1.12,0.011
2026-08-26 14:24,49.0,SPY,call,2026-09-25,29,821.0,765.51,0.17,0.02,0.95,0.114,0.136,703,123,5.72,0.061
2026-08-26 14:24,49.0,MSFT,call,2026-09-11,15,520.0,494.64,2.58,0.181,0.35,0.253,0.445,990,676,1.46,0.105
2026-08-26 14:24,49.0,AAPL,call,2026-09-04,8,320.0,313.08,2.09,0.277,0.41,0.231,0.321,2497,11759,0.21,0.043
2026-08-26 14:24,48.9,SPY,put,2026-09-18,22,760.0,765.51,7.08,-0.366,0.39,0.123,0.136,8084,49718,0.16,0.004
2026-08-26 14:24,48.8,SPY,call,2026-09-03,7,805.0,765.51,0.03,0.003,0.77,0.127,0.136,4657,3255,1.43,0.4
2026-08-26 14:24,48.6,SPY,call,2026-09-11,15,804.0,765.51,0.11,0.016,1.08,0.108,0.136,491,550,0.89,0.087
2026-08-26 14:24,48.6,SPY,call,2026-09-18,22,800.0,765.51,0.55,0.064,0.9,0.11,0.136,218,31202,0.01,0.036
2026-08-26 14:24,48.4,SPY,call,2026-09-03,7,806.0,765.51,0.03,0.002,0.76,0.13,0.136,4331,2956,1.47,0.4
2026-08-26 14:24,48.3,TSLA,call,2026-09-04,8,360.0,347.42,5.05,0.307,0.21,0.436,0.569,1655,4030,0.41,0.02
2026-08-26 14:24,48.2,AAPL,call,2026-09-18,22,330.0,313.08,2.16,0.207,0.3,0.241,0.321,495,32926,0.02,0.014
