scan_utc,score,symbol,type,expiry,dte,strike,spot,mid,delta,leverage,iv,rv,volume,open_int,vol_oi,spread_pct
2026-07-13 18:58,60.6,SPY,call,2026-07-21,7,764.0,749.61,0.59,0.091,1.15,0.098,0.132,2136,48,44.5,0.017
2026-07-13 18:58,59.4,SPY,call,2026-07-21,7,766.0,749.61,0.37,0.059,1.19,0.095,0.132,1683,91,18.49,0.054
2026-07-13 18:58,57.6,SPY,call,2026-07-21,7,769.0,749.61,0.18,0.029,1.23,0.094,0.132,876,72,12.17,0.111
2026-07-13 18:58,57.2,SPY,call,2026-07-21,7,763.0,749.61,0.74,0.111,1.12,0.099,0.132,1918,315,6.09,0.013
2026-07-13 18:58,57.2,SPY,put,2026-07-24,10,728.0,749.61,1.87,-0.128,0.51,0.164,0.132,22694,1241,18.29,0.011
2026-07-13 18:58,57.0,SPY,call,2026-08-28,45,774.0,749.61,5.66,0.298,0.39,0.136,0.132,5007,34,147.26,0.007
2026-07-13 18:58,56.8,SPY,call,2026-07-23,9,789.0,749.61,0.03,0.003,1.0,0.117,0.132,311,1,311.0,0.4
2026-07-13 18:58,56.8,SPY,call,2026-07-31,17,790.0,749.61,0.12,0.018,1.06,0.11,0.132,2041,3983,0.51,0.08
2026-07-13 18:58,56.4,SPY,call,2026-07-21,7,768.0,749.61,0.23,0.037,1.21,0.094,0.132,1031,293,3.52,0.087
2026-07-13 18:58,56.2,SPY,put,2026-08-07,24,710.0,749.61,2.58,-0.112,0.33,0.188,0.132,28249,1244,22.71,0.008
2026-07-13 18:58,56.1,SPY,call,2026-07-23,9,775.0,749.61,0.11,0.018,1.19,0.098,0.132,453,50,9.06,0.087
2026-07-13 18:58,55.2,SPY,call,2026-07-24,10,775.0,749.61,0.17,0.027,1.16,0.1,0.132,692,3215,0.22,0.057
2026-07-13 18:58,55.1,SPY,call,2026-07-23,9,788.0,749.61,0.03,0.003,1.04,0.115,0.132,410,6,68.33,0.4
2026-07-13 18:58,54.8,SPY,call,2026-07-24,10,780.0,749.61,0.08,0.012,1.16,0.102,0.132,735,1623,0.45,0.133
2026-07-13 18:58,54.5,SPY,put,2026-08-07,24,740.0,749.61,7.28,-0.327,0.34,0.144,0.132,28265,2024,13.96,0.005
