scan_utc,score,symbol,type,expiry,dte,strike,spot,mid,delta,leverage,iv,rv,volume,open_int,vol_oi,spread_pct
2026-07-07 20:31,76.7,SPY,call,2026-07-15,7,769.0,747.71,0.07,0.011,1.3,0.086,0.132,20547,19000,1.08,0.154
2026-07-07 20:31,76.0,SPY,call,2026-07-15,7,764.0,747.71,0.23,0.042,1.33,0.086,0.132,1232,37,33.3,0.043
2026-07-07 20:31,73.5,SPY,call,2026-07-17,9,770.0,747.71,0.12,0.022,1.32,0.089,0.132,2981,23906,0.12,0.08
2026-07-07 20:31,72.3,SPY,call,2026-07-15,7,757.0,747.71,1.25,0.19,1.14,0.094,0.132,20620,19237,1.07,0.008
2026-07-07 20:31,70.9,SPY,call,2026-07-15,7,763.0,747.71,0.3,0.054,1.32,0.087,0.132,449,53,8.47,0.033
2026-07-07 20:31,70.8,SPY,call,2026-07-17,9,765.0,747.71,0.4,0.067,1.24,0.092,0.132,2668,12347,0.22,0.05
2026-07-07 20:31,70.8,SPY,call,2026-07-15,7,765.0,747.71,0.17,0.03,1.36,0.084,0.132,619,359,1.72,0.061
2026-07-07 20:31,70.3,SPY,call,2026-07-17,9,775.0,747.71,0.06,0.009,1.27,0.094,0.132,1426,14619,0.1,0.182
2026-07-07 20:31,70.2,SPY,call,2026-07-15,7,775.0,747.71,0.03,0.004,1.17,0.095,0.132,1434,85,16.87,0.4
2026-07-07 20:31,70.0,SPY,call,2026-07-17,9,768.0,747.71,0.18,0.033,1.32,0.088,0.132,698,3279,0.21,0.054
2026-07-07 20:31,69.7,SPY,call,2026-07-17,9,760.0,747.71,1.12,0.161,1.08,0.097,0.132,10462,50316,0.21,0.009
2026-07-07 20:31,69.7,SPY,call,2026-07-17,9,766.0,747.71,0.33,0.054,1.25,0.091,0.132,1341,3390,0.4,0.031
2026-07-07 20:31,69.3,SPY,call,2026-07-16,8,770.0,747.71,0.08,0.013,1.34,0.086,0.132,272,97,2.8,0.133
2026-07-07 20:31,69.1,SPY,call,2026-07-17,9,771.0,747.71,0.1,0.017,1.33,0.088,0.132,432,1954,0.22,0.105
2026-07-07 20:31,69.0,SPY,call,2026-07-17,9,773.0,747.71,0.07,0.012,1.33,0.09,0.132,465,2227,0.21,0.154
