scan_utc,score,symbol,type,expiry,dte,strike,spot,mid,delta,leverage,iv,rv,volume,open_int,vol_oi,spread_pct
2026-06-25 18:14,52.6,SPY,call,2026-07-10,14,770.0,732.92,0.15,0.019,0.97,0.117,0.154,4088,2544,1.61,0.069
2026-06-25 18:14,51.6,SPY,call,2026-07-17,21,770.0,732.92,0.55,0.058,0.79,0.123,0.154,4092,24832,0.16,0.018
2026-06-25 18:14,50.7,SPY,call,2026-07-17,21,780.0,732.92,0.17,0.02,0.9,0.121,0.154,3594,18543,0.19,0.061
2026-06-25 18:14,50.3,SPY,call,2026-07-10,14,764.0,732.92,0.38,0.046,0.89,0.12,0.154,1283,382,3.36,0.053
2026-06-25 18:14,50.2,AAPL,put,2026-07-24,28,270.0,278.2,4.85,-0.315,0.18,0.271,0.255,8688,1603,5.42,0.062
2026-06-25 18:14,49.9,AAPL,put,2026-07-17,21,265.0,278.2,2.7,-0.213,0.22,0.28,0.255,11280,10266,1.1,0.044
2026-06-25 18:14,49.7,NVDA,put,2026-07-17,21,185.0,194.13,2.96,-0.257,0.17,0.347,0.416,5417,22292,0.24,0.017
2026-06-25 18:14,49.6,SPY,put,2026-07-17,21,700.0,732.92,3.26,-0.145,0.32,0.195,0.154,14407,58939,0.24,0.006
2026-06-25 18:14,49.5,SPY,call,2026-07-10,14,775.0,732.92,0.08,0.01,0.99,0.118,0.154,1822,1552,1.17,0.133
2026-06-25 18:14,49.4,NVDA,call,2026-07-17,21,200.0,194.13,5.4,0.409,0.15,0.407,0.416,10457,78496,0.13,0.019
2026-06-25 18:14,49.2,SPY,call,2026-07-10,14,765.0,732.92,0.33,0.04,0.9,0.119,0.154,1429,2223,0.64,0.031
2026-06-25 18:14,49.2,AAPL,call,2026-07-17,21,290.0,278.2,2.79,0.273,0.27,0.256,0.255,7452,15595,0.48,0.043
2026-06-25 18:14,49.2,AAPL,call,2026-07-17,21,295.0,278.2,1.69,0.184,0.3,0.251,0.255,6033,33855,0.18,0.018
2026-06-25 18:14,48.9,SPY,call,2026-07-17,21,760.0,732.92,1.75,0.148,0.62,0.133,0.154,2021,28863,0.07,0.006
2026-06-25 18:14,48.8,NVDA,put,2026-07-17,21,180.0,194.13,1.95,-0.175,0.17,0.366,0.416,6233,84898,0.07,0.021
