scan_utc,score,symbol,type,expiry,dte,strike,spot,mid,delta,leverage,iv,rv,volume,open_int,vol_oi,spread_pct
2026-09-07 18:23,58.9,SPY,call,2026-09-16,8,795.0,770.19,0.14,0.02,1.12,0.1,0.128,3844,274,14.03,0.074
2026-09-07 18:23,57.3,SPY,call,2026-09-18,10,793.0,770.19,0.3,0.045,1.16,0.099,0.128,6606,6211,1.06,0.067
2026-09-07 18:23,56.6,SPY,call,2026-09-30,22,800.0,770.19,0.52,0.069,1.04,0.096,0.128,3012,55925,0.05,0.019
2026-09-07 18:23,56.3,SPY,call,2026-09-18,10,790.0,770.19,0.48,0.071,1.13,0.099,0.128,4095,61269,0.07,0.042
2026-09-07 18:23,55.7,SPY,call,2026-09-30,22,810.0,770.19,0.2,0.028,1.1,0.101,0.128,2632,5278,0.5,0.051
2026-09-07 18:23,55.3,NVDA,call,2026-09-18,10,240.0,230.36,2.25,0.254,0.26,0.348,0.405,57039,76042,0.75,0.044
2026-09-07 18:23,55.2,SPY,call,2026-09-18,10,800.0,770.19,0.11,0.017,1.11,0.104,0.128,2438,25828,0.09,0.087
2026-09-07 18:23,54.8,SPY,call,2026-09-30,22,816.0,770.19,0.12,0.018,1.09,0.106,0.128,1481,400,3.7,0.08
2026-09-07 18:23,54.0,SPY,call,2026-09-18,10,780.0,770.19,2.13,0.254,0.92,0.103,0.128,9997,27004,0.37,0.014
2026-09-07 18:23,53.9,SPY,call,2026-09-18,10,785.0,770.19,1.06,0.143,1.04,0.1,0.128,3442,22493,0.15,0.019
2026-09-07 18:23,53.9,SPY,put,2026-09-18,10,745.0,770.19,1.43,-0.097,0.52,0.162,0.128,39829,20766,1.92,0.014
2026-09-07 18:23,53.3,SPY,call,2026-09-18,10,795.0,770.19,0.23,0.033,1.14,0.1,0.128,819,13860,0.06,0.044
2026-09-07 18:23,53.2,SPY,put,2026-09-18,10,760.0,770.19,3.62,-0.259,0.55,0.139,0.128,54980,70613,0.78,0.008
2026-09-07 18:23,52.8,SPY,call,2026-09-30,22,809.0,770.19,0.21,0.03,1.11,0.1,0.128,610,450,1.36,0.049
2026-09-07 18:23,52.6,MSFT,call,2026-10-09,31,525.0,499.7,6.35,0.29,0.23,0.265,0.42,1954,78,25.05,0.094
