scan_utc,score,symbol,type,expiry,dte,strike,spot,mid,delta,leverage,iv,rv,volume,open_int,vol_oi,spread_pct
2026-08-20 14:18,53.1,SPY,put,2026-08-31,10,742.0,765.68,1.19,-0.089,0.57,0.148,0.136,16873,700,24.1,0.008
2026-08-20 14:18,51.4,SPY,put,2026-08-31,10,746.0,765.68,1.52,-0.117,0.59,0.14,0.136,17644,18569,0.95,0.007
2026-08-20 14:18,51.2,SPY,call,2026-09-30,40,800.0,765.68,1.85,0.153,0.63,0.113,0.136,2415,76825,0.03,0.016
2026-08-20 14:18,50.9,SPY,put,2026-09-18,28,730.0,765.68,3.23,-0.136,0.32,0.172,0.136,18776,52127,0.36,0.006
2026-08-20 14:18,50.4,SPY,put,2026-09-18,28,733.0,765.68,3.53,-0.149,0.32,0.167,0.136,16370,18863,0.87,0.006
2026-08-20 14:18,49.4,SPY,call,2026-09-18,28,815.0,765.68,0.2,0.025,0.99,0.108,0.136,1409,13354,0.11,0.051
2026-08-20 14:18,49.2,AAPL,call,2026-09-18,28,330.0,316.94,4.33,0.315,0.23,0.258,0.322,2591,32252,0.08,0.035
2026-08-20 14:18,48.9,TSLA,put,2026-08-28,7,335.0,341.96,4.6,-0.324,0.24,0.359,0.563,4759,6001,0.79,0.022
2026-08-20 14:18,47.6,MSFT,call,2026-08-28,7,500.0,482.59,1.84,0.163,0.43,0.25,0.449,1035,3877,0.27,0.092
2026-08-20 14:18,47.6,SPY,call,2026-09-18,28,800.0,765.68,0.86,0.092,0.82,0.108,0.136,313,31269,0.01,0.023
2026-08-20 14:18,47.1,TSLA,call,2026-08-28,7,355.0,341.96,4.75,0.293,0.21,0.459,0.563,1884,2586,0.73,0.021
2026-08-20 14:18,47.0,SPY,call,2026-08-31,10,800.0,765.68,0.07,0.009,1.08,0.109,0.136,468,10358,0.05,0.154
2026-08-20 14:18,46.9,AAPL,call,2026-08-28,7,330.0,316.94,0.99,0.131,0.42,0.251,0.322,885,7044,0.13,0.03
2026-08-20 14:18,46.8,SPY,call,2026-08-31,10,785.0,765.68,0.49,0.073,1.13,0.098,0.136,185,36423,0.01,0.02
2026-08-20 14:18,46.6,SPY,call,2026-08-31,10,791.0,765.68,0.17,0.026,1.19,0.097,0.136,363,2360,0.15,0.061
