scan_utc,score,symbol,type,expiry,dte,strike,spot,mid,delta,leverage,iv,rv,volume,open_int,vol_oi,spread_pct
2026-08-31 19:40,55.4,SPY,call,2026-09-09,8,782.0,766.62,0.29,0.056,1.44,0.08,0.139,2124,211,10.07,0.034
2026-08-31 19:40,55.2,SPY,call,2026-09-09,8,783.0,766.62,0.24,0.046,1.44,0.08,0.139,2142,249,8.6,0.041
2026-08-31 19:40,55.0,SPY,call,2026-09-11,10,780.0,766.62,1.0,0.148,1.13,0.092,0.139,12739,7734,1.65,0.02
2026-08-31 19:40,54.3,SPY,call,2026-09-18,17,800.0,766.62,0.17,0.026,1.21,0.096,0.139,2746,30759,0.09,0.061
2026-08-31 19:40,54.2,TSLA,call,2026-09-09,8,390.0,366.35,2.45,0.163,0.24,0.41,0.577,7778,133,58.48,0.029
2026-08-31 19:40,54.0,SPY,call,2026-09-18,17,790.0,766.62,0.68,0.092,1.04,0.097,0.139,4507,62043,0.07,0.015
2026-08-31 19:40,53.3,SPY,call,2026-09-08,7,783.0,766.62,0.15,0.028,1.5,0.077,0.139,1403,652,2.15,0.069
2026-08-31 19:40,52.9,SPY,call,2026-09-30,29,800.0,766.62,0.63,0.078,0.95,0.097,0.139,2011,58531,0.03,0.032
2026-08-31 19:40,52.9,SPY,call,2026-09-09,8,784.0,766.62,0.18,0.035,1.46,0.08,0.139,1496,1636,0.91,0.054
2026-08-31 19:40,52.7,NVDA,call,2026-09-11,10,230.0,219.77,1.24,0.183,0.33,0.289,0.425,13611,15465,0.88,0.016
2026-08-31 19:40,52.6,SPY,call,2026-09-11,10,787.0,766.62,0.26,0.044,1.31,0.088,0.139,1584,952,1.66,0.039
2026-08-31 19:40,52.4,SPY,call,2026-09-09,8,779.0,766.62,0.61,0.109,1.37,0.082,0.139,2121,1588,1.34,0.033
2026-08-31 19:40,52.2,SPY,call,2026-09-10,9,787.0,766.62,0.15,0.027,1.42,0.083,0.139,182,4,45.5,0.069
2026-08-31 19:40,52.1,NVDA,call,2026-09-18,17,230.0,219.77,2.26,0.259,0.25,0.296,0.425,11643,58322,0.2,0.009
2026-08-31 19:40,51.9,SPY,call,2026-09-11,10,785.0,766.62,0.39,0.064,1.27,0.089,0.139,1662,2282,0.73,0.026
