scan_utc,score,symbol,type,expiry,dte,strike,spot,mid,delta,leverage,iv,rv,volume,open_int,vol_oi,spread_pct
2026-07-01 19:25,53.2,SPY,call,2026-07-10,8,760.0,747.34,0.74,0.121,1.21,0.091,0.138,5830,22346,0.26,0.013
2026-07-01 19:25,53.0,NVDA,call,2026-07-10,8,210.0,199.22,0.81,0.134,0.33,0.309,0.394,13371,22783,0.59,0.025
2026-07-01 19:25,52.5,NVDA,call,2026-07-17,15,210.0,199.22,1.94,0.234,0.24,0.331,0.394,13965,46286,0.3,0.016
2026-07-01 19:25,52.4,SPY,put,2026-07-31,29,743.0,747.34,9.29,-0.392,0.32,0.131,0.138,25238,1075,23.48,0.003
2026-07-01 19:25,52.3,NVDA,call,2026-07-10,8,205.0,199.22,1.73,0.274,0.32,0.3,0.394,13873,9657,1.44,0.023
2026-07-01 19:25,51.7,MSFT,call,2026-07-17,15,400.0,385.76,6.3,0.332,0.2,0.36,0.356,22025,25661,0.86,0.016
2026-07-01 19:25,51.7,NVDA,call,2026-07-10,8,207.5,199.22,1.19,0.194,0.33,0.303,0.394,7059,5015,1.41,0.017
2026-07-01 19:25,51.4,TSLA,call,2026-07-10,8,442.5,425.29,5.3,0.278,0.22,0.421,0.467,4169,294,14.18,0.019
2026-07-01 19:25,51.3,SPY,put,2026-08-07,36,720.0,747.34,5.21,-0.196,0.28,0.16,0.138,7712,487,15.84,0.006
2026-07-01 19:25,50.8,TSLA,call,2026-07-10,8,450.0,425.29,3.62,0.197,0.23,0.424,0.467,9003,7056,1.28,0.014
2026-07-01 19:25,50.8,SPY,call,2026-07-17,15,765.0,747.34,1.3,0.156,0.9,0.104,0.138,3721,13867,0.27,0.015
2026-07-01 19:25,50.8,SPY,put,2026-07-17,15,740.0,747.34,4.96,-0.32,0.48,0.127,0.138,29104,60358,0.48,0.006
2026-07-01 19:25,50.8,SPY,call,2026-07-17,15,770.0,747.34,0.64,0.087,1.02,0.101,0.138,1414,24358,0.06,0.016
2026-07-01 19:25,50.6,SPY,call,2026-07-09,7,764.0,747.34,0.15,0.028,1.45,0.08,0.138,339,25,13.56,0.069
2026-07-01 19:25,50.6,SPY,call,2026-07-17,15,760.0,747.34,2.48,0.254,0.76,0.109,0.138,6533,30802,0.21,0.008
