scan_utc,score,symbol,type,expiry,dte,strike,spot,mid,delta,leverage,iv,rv,volume,open_int,vol_oi,spread_pct
2026-08-14 14:37,57.5,SPY,call,2026-08-31,16,785.0,777.34,4.2,0.368,0.68,0.107,0.139,34042,3140,10.84,0.012
2026-08-14 14:37,49.8,SPY,call,2026-08-28,13,800.0,777.34,0.58,0.079,1.05,0.101,0.139,1095,4046,0.27,0.017
2026-08-14 14:37,49.7,SPY,call,2026-08-31,16,809.0,777.34,0.29,0.04,1.08,0.103,0.139,779,643,1.21,0.035
2026-08-14 14:37,49.6,SPY,put,2026-09-04,20,770.0,777.34,5.29,-0.32,0.47,0.112,0.139,5781,2639,2.19,0.011
2026-08-14 14:37,49.4,SPY,call,2026-09-18,34,804.0,777.34,2.91,0.212,0.57,0.118,0.139,1623,760,2.14,0.007
2026-08-14 14:37,48.9,SPY,put,2026-08-28,13,723.0,777.34,0.33,-0.018,0.44,0.189,0.139,8550,5979,1.43,0.031
2026-08-14 14:37,48.8,SPY,call,2026-09-11,27,830.0,777.34,0.23,0.026,0.9,0.117,0.139,1091,589,1.85,0.044
2026-08-14 14:37,48.6,AAPL,call,2026-09-18,34,320.0,304.81,3.75,0.289,0.23,0.245,0.319,832,35293,0.02,0.053
2026-08-14 14:37,48.5,TSLA,call,2026-08-28,13,360.0,345.44,6.0,0.322,0.19,0.419,0.57,1386,2593,0.53,0.017
2026-08-14 14:37,48.4,NVDA,call,2026-08-28,13,240.0,225.39,2.61,0.231,0.2,0.419,0.404,3072,20873,0.15,0.023
2026-08-14 14:37,48.4,TSLA,call,2026-08-28,13,365.0,345.44,4.75,0.265,0.19,0.423,0.57,1353,1522,0.89,0.021
2026-08-14 14:37,47.9,TSLA,call,2026-08-28,13,370.0,345.44,3.8,0.217,0.2,0.431,0.57,1834,2714,0.68,0.026
2026-08-14 14:37,47.8,NVDA,call,2026-09-18,34,240.0,225.39,5.22,0.327,0.14,0.379,0.404,1069,56045,0.02,0.01
2026-08-14 14:37,47.7,TSLA,call,2026-09-18,34,365.0,345.44,10.68,0.372,0.12,0.426,0.57,1160,1748,0.66,0.014
2026-08-14 14:37,47.6,SPY,call,2026-09-04,20,831.0,777.34,0.11,0.014,0.93,0.124,0.139,698,166,4.2,0.087
