scan_utc,score,symbol,type,expiry,dte,strike,spot,mid,delta,leverage,iv,rv,volume,open_int,vol_oi,spread_pct
2026-09-04 17:04,76.0,SPY,call,2026-09-18,13,800.0,770.42,0.14,0.022,1.26,0.094,0.138,1363,25828,0.05,0.074
2026-09-04 17:04,74.8,SPY,call,2026-09-18,13,793.0,770.42,0.39,0.061,1.2,0.093,0.138,2309,6211,0.37,0.051
2026-09-04 17:04,74.4,SPY,call,2026-09-18,13,790.0,770.42,0.64,0.093,1.13,0.094,0.138,3261,61269,0.05,0.016
2026-09-04 17:04,73.1,SPY,call,2026-09-18,13,807.0,770.42,0.07,0.01,1.22,0.102,0.138,903,1069,0.84,0.154
2026-09-04 17:04,72.7,SPY,call,2026-09-18,13,795.0,770.42,0.28,0.044,1.24,0.092,0.138,342,13860,0.02,0.036
2026-09-04 17:04,72.3,SPY,call,2026-09-30,25,809.0,770.42,0.23,0.034,1.15,0.095,0.138,600,450,1.33,0.044
2026-09-04 17:04,72.2,SPY,call,2026-09-30,25,800.0,770.42,0.6,0.081,1.03,0.094,0.138,1826,55925,0.03,0.017
2026-09-04 17:04,71.7,SPY,call,2026-09-18,13,796.0,770.42,0.26,0.04,1.22,0.094,0.138,366,4284,0.09,0.039
2026-09-04 17:04,71.5,SPY,call,2026-09-30,25,810.0,770.42,0.21,0.031,1.16,0.095,0.138,503,5278,0.1,0.049
2026-09-04 17:04,71.2,SPY,call,2026-09-25,20,805.0,770.42,0.21,0.032,1.19,0.095,0.138,385,1043,0.37,0.049
2026-09-04 17:04,71.1,SPY,call,2026-09-18,13,798.0,770.42,0.18,0.03,1.24,0.094,0.138,195,3789,0.05,0.054
2026-09-04 17:04,71.0,SPY,call,2026-09-18,13,794.0,770.42,0.35,0.055,1.2,0.094,0.138,428,3938,0.11,0.057
2026-09-04 17:04,71.0,SPY,call,2026-09-25,20,816.0,770.42,0.08,0.012,1.2,0.103,0.138,435,367,1.19,0.133
2026-09-04 17:04,69.7,SPY,call,2026-09-18,13,792.0,770.42,0.45,0.07,1.19,0.093,0.138,312,1674,0.19,0.044
2026-09-04 17:04,69.6,SPY,call,2026-09-25,20,800.0,770.42,0.36,0.054,1.14,0.093,0.138,312,1706,0.18,0.027
