scan_utc,score,symbol,type,expiry,dte,strike,spot,mid,delta,leverage,iv,rv,volume,open_int,vol_oi,spread_pct
2026-09-23 17:58,62.7,SPY,call,2026-10-02,8,785.0,768.82,0.59,0.087,1.13,0.098,0.115,53714,8129,6.61,0.017
2026-09-23 17:58,56.3,NVDA,call,2026-10-02,8,235.0,225.32,1.07,0.168,0.35,0.282,0.389,24834,30571,0.81,0.019
2026-09-23 17:58,55.1,SPY,call,2026-10-05,11,800.0,768.82,0.11,0.016,1.14,0.102,0.115,2349,649,3.62,0.095
2026-09-23 17:58,54.4,SPY,call,2026-10-23,29,800.0,768.82,1.18,0.119,0.77,0.107,0.115,5437,2605,2.09,0.017
2026-09-23 17:58,54.2,SPY,call,2026-10-16,22,800.0,768.82,0.65,0.077,0.92,0.105,0.115,4210,21199,0.2,0.016
2026-09-23 17:58,54.0,SPY,call,2026-10-16,22,790.0,768.82,1.82,0.18,0.76,0.107,0.115,10346,23595,0.44,0.011
2026-09-23 17:58,53.8,SPY,call,2026-10-01,7,800.0,768.82,0.06,0.007,0.91,0.113,0.115,3181,431,7.38,0.182
2026-09-23 17:58,53.5,TSLA,call,2026-10-02,8,400.0,379.65,3.8,0.223,0.22,0.435,0.562,10863,6544,1.66,0.026
2026-09-23 17:58,53.3,SPY,call,2026-10-16,22,795.0,768.82,1.08,0.119,0.85,0.105,0.115,4193,18142,0.23,0.009
2026-09-23 17:58,53.2,SPY,call,2026-10-05,11,792.0,768.82,0.26,0.041,1.23,0.093,0.115,304,20,15.2,0.039
2026-09-23 17:58,53.1,SPY,call,2026-10-02,8,780.0,768.82,1.35,0.184,1.05,0.1,0.115,5249,4187,1.25,0.015
2026-09-23 17:58,53.0,SPY,call,2026-10-09,15,800.0,768.82,0.23,0.034,1.11,0.102,0.115,1634,7835,0.21,0.043
2026-09-23 17:58,53.0,SPY,call,2026-10-09,15,785.0,768.82,1.55,0.181,0.9,0.102,0.115,4383,66986,0.07,0.013
2026-09-23 17:58,53.0,SPY,call,2026-10-06,12,775.0,768.82,3.54,0.365,0.79,0.102,0.115,4005,272,14.72,0.008
2026-09-23 17:58,52.5,TSLA,call,2026-10-16,22,400.0,379.65,8.05,0.329,0.16,0.409,0.562,9042,16502,0.55,0.012
