scan_utc,score,symbol,type,expiry,dte,strike,spot,mid,delta,leverage,iv,rv,volume,open_int,vol_oi,spread_pct
2026-07-08 18:54,61.6,SPY,call,2026-07-17,8,760.0,745.18,0.69,0.103,1.11,0.099,0.131,10430,51076,0.2,0.014
2026-07-08 18:54,59.6,SPY,call,2026-07-17,8,765.0,745.18,0.21,0.034,1.23,0.093,0.131,1609,12761,0.13,0.049
2026-07-08 18:54,59.3,SPY,call,2026-07-17,8,770.0,745.18,0.07,0.011,1.23,0.093,0.131,1299,24063,0.05,0.154
2026-07-08 18:54,56.8,SPY,call,2026-07-24,15,770.0,745.18,0.41,0.06,1.11,0.098,0.131,912,1754,0.52,0.025
2026-07-08 18:54,56.7,SPY,call,2026-07-20,11,770.0,745.18,0.11,0.02,1.39,0.087,0.131,214,192,1.11,0.095
2026-07-08 18:54,56.6,SPY,call,2026-07-17,8,766.0,745.18,0.17,0.027,1.23,0.093,0.131,431,4440,0.1,0.061
2026-07-08 18:54,56.5,SPY,call,2026-07-17,8,762.0,745.18,0.45,0.069,1.16,0.097,0.131,939,3385,0.28,0.022
2026-07-08 18:54,56.5,SPY,call,2026-07-17,8,755.0,745.18,1.79,0.226,0.94,0.108,0.131,5755,18229,0.32,0.006
2026-07-08 18:54,56.4,SPY,call,2026-07-24,15,765.0,745.18,0.95,0.122,0.95,0.102,0.131,2212,1373,1.61,0.01
2026-07-08 18:54,56.3,SPY,call,2026-07-24,15,775.0,745.18,0.17,0.027,1.23,0.095,0.131,258,2759,0.09,0.061
2026-07-08 18:54,56.1,SPY,call,2026-07-17,8,768.0,745.18,0.11,0.017,1.23,0.093,0.131,355,3468,0.1,0.095
2026-07-08 18:54,56.0,SPY,call,2026-07-17,8,764.0,745.18,0.28,0.044,1.2,0.095,0.131,484,3342,0.14,0.036
2026-07-08 18:54,56.0,SPY,call,2026-07-17,8,763.0,745.18,0.34,0.055,1.19,0.095,0.131,493,4388,0.11,0.029
2026-07-08 18:54,55.5,SPY,call,2026-07-17,8,769.0,745.18,0.08,0.014,1.22,0.093,0.131,242,5327,0.05,0.118
2026-07-08 18:54,55.4,SPY,call,2026-07-24,15,789.0,745.18,0.04,0.006,1.22,0.107,0.131,688,491,1.4,0.286
