scan_utc,score,symbol,type,expiry,dte,strike,spot,mid,delta,leverage,iv,rv,volume,open_int,vol_oi,spread_pct
2026-07-21 18:04,79.6,SPY,call,2026-07-29,7,763.0,748.38,0.56,0.086,1.15,0.097,0.131,2515,141,17.84,0.018
2026-07-21 18:04,77.3,SPY,call,2026-07-29,7,762.0,748.38,0.7,0.106,1.12,0.099,0.131,2166,188,11.52,0.014
2026-07-21 18:04,76.3,SPY,call,2026-07-29,7,764.0,748.38,0.43,0.068,1.17,0.096,0.131,1218,216,5.64,0.023
2026-07-21 18:04,74.1,SPY,call,2026-07-31,9,770.0,748.38,0.34,0.049,1.06,0.105,0.131,2471,15444,0.16,0.029
2026-07-21 18:04,73.9,SPY,call,2026-07-29,7,761.0,748.38,0.88,0.128,1.1,0.1,0.131,660,36,18.33,0.011
2026-07-21 18:04,72.6,SPY,call,2026-07-31,9,773.0,748.38,0.2,0.028,1.09,0.104,0.131,1159,1459,0.79,0.051
2026-07-21 18:04,72.3,SPY,call,2026-07-31,9,765.0,748.38,0.92,0.117,0.96,0.111,0.131,5311,11010,0.48,0.011
2026-07-21 18:04,72.2,SPY,call,2026-07-31,9,772.0,748.38,0.24,0.035,1.08,0.105,0.131,1186,1619,0.73,0.041
2026-07-21 18:04,71.4,SPY,call,2026-07-31,9,775.0,748.38,0.14,0.02,1.09,0.104,0.131,618,5038,0.12,0.074
2026-07-21 18:04,71.3,SPY,call,2026-07-30,8,768.0,748.38,0.34,0.049,1.11,0.101,0.131,255,29,8.79,0.03
2026-07-21 18:04,70.3,SPY,call,2026-07-31,9,780.0,748.38,0.07,0.009,1.06,0.108,0.131,661,7896,0.08,0.154
2026-07-21 18:04,70.1,SPY,call,2026-07-29,7,759.0,748.38,1.31,0.181,1.03,0.104,0.131,1001,262,3.82,0.008
2026-07-21 18:04,69.9,SPY,call,2026-08-07,16,782.0,748.38,0.21,0.03,1.05,0.106,0.131,402,289,1.39,0.047
2026-07-21 18:04,69.7,SPY,call,2026-08-07,16,780.0,748.38,0.28,0.038,1.04,0.106,0.131,496,1362,0.36,0.036
2026-07-21 18:04,69.2,SPY,call,2026-08-07,16,785.0,748.38,0.15,0.021,1.08,0.107,0.131,304,981,0.31,0.069
