scan_utc,score,symbol,type,expiry,dte,strike,spot,mid,delta,leverage,iv,rv,volume,open_int,vol_oi,spread_pct
2026-08-06 16:04,58.7,MSFT,call,2026-09-18,42,525.0,494.93,9.9,0.323,0.16,0.309,0.447,30292,1914,15.83,0.02
2026-08-06 16:04,54.0,NVDA,call,2026-08-14,7,230.0,217.75,1.12,0.146,0.28,0.36,0.41,19655,14350,1.37,0.009
2026-08-06 16:04,53.3,NVDA,call,2026-08-21,14,230.0,217.75,2.38,0.241,0.22,0.367,0.41,18919,79260,0.24,0.013
2026-08-06 16:04,52.7,AAPL,call,2026-08-14,7,320.0,309.81,1.61,0.2,0.38,0.265,0.319,12894,7756,1.66,0.031
2026-08-06 16:04,51.8,NVDA,call,2026-08-14,7,225.0,217.75,2.21,0.271,0.27,0.363,0.41,13704,33658,0.41,0.014
2026-08-06 16:04,51.7,SPY,call,2026-08-21,14,800.0,768.02,0.28,0.036,1.0,0.11,0.14,2541,22267,0.11,0.036
2026-08-06 16:04,51.5,AAPL,call,2026-08-21,14,320.0,309.81,2.88,0.282,0.3,0.26,0.319,9767,22675,0.43,0.017
2026-08-06 16:04,51.4,NVDA,call,2026-08-21,14,225.0,217.75,3.8,0.348,0.2,0.372,0.41,14649,37170,0.39,0.026
2026-08-06 16:04,51.3,NVDA,call,2026-08-14,7,227.5,217.75,1.55,0.2,0.28,0.358,0.41,7912,19555,0.4,0.013
2026-08-06 16:04,50.5,AAPL,call,2026-08-14,7,325.0,309.81,0.88,0.108,0.38,0.271,0.319,4484,8001,0.56,0.011
2026-08-06 16:04,50.3,SPY,call,2026-09-04,28,836.0,768.02,0.11,0.013,0.85,0.13,0.14,15021,10022,1.5,0.087
2026-08-06 16:04,50.1,SPY,call,2026-08-14,7,790.0,768.02,0.35,0.044,0.95,0.115,0.14,2943,6017,0.49,0.028
2026-08-06 16:04,49.8,SPY,call,2026-08-21,14,785.0,768.02,1.98,0.196,0.76,0.118,0.14,2827,81914,0.03,0.015
2026-08-06 16:04,49.8,SPY,put,2026-08-21,14,730.0,768.02,0.69,-0.045,0.5,0.16,0.14,5407,57456,0.09,0.014
2026-08-06 16:04,49.7,SPY,call,2026-08-31,24,780.0,768.02,5.67,0.359,0.49,0.129,0.14,12185,17053,0.71,0.012
