scan_utc,score,symbol,type,expiry,dte,strike,spot,mid,delta,leverage,iv,rv,volume,open_int,vol_oi,spread_pct
2026-08-24 14:23,52.0,SPY,put,2026-09-18,24,726.0,763.26,2.59,-0.116,0.34,0.177,0.138,12136,7246,1.67,0.004
2026-08-24 14:23,51.3,NVDA,call,2026-09-04,10,220.0,209.46,3.62,0.296,0.17,0.502,0.399,10972,7589,1.45,0.014
2026-08-24 14:23,51.2,NVDA,call,2026-09-18,24,220.0,209.46,5.2,0.354,0.14,0.421,0.399,5613,46405,0.12,0.019
2026-08-24 14:23,50.7,SPY,put,2026-09-18,24,728.0,763.26,2.76,-0.125,0.34,0.174,0.138,8022,23974,0.33,0.004
2026-08-24 14:23,50.5,SPY,call,2026-09-18,24,790.0,763.26,1.25,0.13,0.79,0.108,0.138,965,48143,0.02,0.008
2026-08-24 14:23,50.1,TSLA,put,2026-09-11,17,340.0,354.38,6.58,-0.291,0.16,0.397,0.575,1888,1422,1.33,0.023
2026-08-24 14:23,49.6,TSLA,call,2026-09-04,10,365.0,354.38,6.42,0.356,0.2,0.423,0.575,2510,3088,0.81,0.023
2026-08-24 14:23,49.4,TSLA,put,2026-09-18,24,340.0,354.38,8.55,-0.313,0.13,0.397,0.575,1006,19709,0.05,0.012
2026-08-24 14:23,49.3,AAPL,call,2026-09-18,24,335.0,312.68,1.63,0.158,0.3,0.249,0.326,2143,14570,0.15,0.037
2026-08-24 14:23,49.2,SPY,call,2026-09-18,24,800.0,763.26,0.41,0.051,0.97,0.105,0.138,343,33258,0.01,0.025
2026-08-24 14:23,49.1,TSLA,call,2026-09-18,24,370.0,354.38,9.35,0.373,0.14,0.416,0.575,1127,9628,0.12,0.011
2026-08-24 14:23,48.9,SPY,call,2026-09-04,10,780.0,763.26,0.92,0.122,1.01,0.105,0.138,1640,3145,0.52,0.022
2026-08-24 14:23,48.5,AAPL,call,2026-09-18,24,330.0,312.68,2.47,0.221,0.28,0.249,0.326,573,29599,0.02,0.024
2026-08-24 14:23,48.4,SPY,call,2026-09-18,24,805.0,763.26,0.23,0.032,1.03,0.105,0.138,414,11247,0.04,0.043
2026-08-24 14:23,48.4,SPY,call,2026-09-18,24,796.0,763.26,0.65,0.076,0.9,0.105,0.138,657,3306,0.2,0.016
