scan_utc,score,symbol,type,expiry,dte,strike,spot,mid,delta,leverage,iv,rv,volume,open_int,vol_oi,spread_pct
2026-07-30 15:35,56.9,MSFT,call,2026-08-07,7,470.0,446.24,2.19,0.148,0.3,0.345,0.422,20054,813,24.67,0.037
2026-07-30 15:35,53.8,MSFT,call,2026-08-21,21,480.0,446.24,3.45,0.185,0.24,0.314,0.422,53867,71345,0.76,0.029
2026-07-30 15:35,52.4,SPY,call,2026-08-07,7,760.0,736.07,0.15,0.019,0.99,0.108,0.134,8157,18004,0.45,0.069
2026-07-30 15:35,51.8,MSFT,put,2026-08-07,7,435.0,446.24,5.83,-0.301,0.23,0.385,0.422,1596,7,228.0,0.043
2026-07-30 15:35,51.7,SPY,call,2026-08-21,21,770.0,736.07,0.55,0.064,0.86,0.115,0.134,5121,22389,0.23,0.036
2026-07-30 15:35,51.5,MSFT,call,2026-09-04,35,465.0,446.24,10.0,0.372,0.17,0.317,0.422,2644,86,30.74,0.1
2026-07-30 15:35,50.9,MSFT,call,2026-08-21,21,450.0,446.24,12.43,0.485,0.17,0.319,0.422,49268,49538,0.99,0.02
2026-07-30 15:35,50.6,NVDA,call,2026-08-07,7,202.5,193.36,2.0,0.236,0.23,0.436,0.411,13875,6872,2.02,0.015
2026-07-30 15:35,50.2,SPY,call,2026-09-04,35,787.0,736.07,0.47,0.048,0.75,0.12,0.134,3378,896,3.77,0.021
2026-07-30 15:35,50.2,NVDA,call,2026-08-07,7,200.0,193.36,2.65,0.302,0.22,0.433,0.411,18534,20793,0.89,0.011
2026-07-30 15:35,49.9,NVDA,call,2026-08-07,7,205.0,193.36,1.38,0.171,0.24,0.425,0.411,12614,13631,0.93,0.007
2026-07-30 15:35,49.9,MSFT,call,2026-08-07,7,480.0,446.24,1.1,0.075,0.3,0.355,0.422,6626,784,8.45,0.091
2026-07-30 15:35,49.7,MSFT,call,2026-08-21,21,460.0,446.24,8.3,0.37,0.2,0.314,0.422,6667,67376,0.1,0.036
2026-07-30 15:35,49.5,SPY,call,2026-08-21,21,773.0,736.07,0.38,0.046,0.9,0.114,0.134,1855,6527,0.28,0.027
2026-07-30 15:35,49.5,MSFT,call,2026-08-07,7,460.0,446.24,4.38,0.281,0.29,0.353,0.422,10672,8327,1.28,0.103
