scan_utc,score,symbol,type,expiry,dte,strike,spot,mid,delta,leverage,iv,rv,volume,open_int,vol_oi,spread_pct
2026-09-24 17:57,58.7,MSFT,call,2026-10-30,35,525.0,496.22,9.52,0.32,0.17,0.325,0.395,15011,208,72.17,0.037
2026-09-24 17:57,52.9,AAPL,put,2026-10-09,14,330.0,337.13,3.07,-0.286,0.31,0.217,0.314,10641,1126,9.45,0.052
2026-09-24 17:57,52.1,NVDA,call,2026-10-02,7,235.0,223.9,0.73,0.119,0.36,0.286,0.387,10212,27020,0.38,0.014
2026-09-24 17:57,51.0,NVDA,call,2026-10-02,7,230.0,223.9,1.67,0.26,0.35,0.283,0.387,11995,19514,0.61,0.018
2026-09-24 17:57,50.8,TSLA,call,2026-10-02,7,400.0,379.66,3.58,0.212,0.22,0.446,0.557,7656,8026,0.95,0.014
2026-09-24 17:57,50.7,AAPL,call,2026-10-16,21,350.0,337.13,2.83,0.265,0.32,0.222,0.314,6996,24234,0.29,0.028
2026-09-24 17:57,50.7,SPY,put,2026-10-16,21,730.0,766.63,1.9,-0.097,0.39,0.168,0.114,45143,43786,1.03,0.011
2026-09-24 17:57,50.1,SPY,call,2026-10-09,14,774.0,766.63,4.71,0.376,0.61,0.122,0.114,12788,1177,10.86,0.004
2026-09-24 17:57,50.1,TSLA,call,2026-10-16,21,400.0,379.66,7.95,0.327,0.16,0.415,0.557,5824,17526,0.33,0.013
2026-09-24 17:57,49.8,SPY,put,2026-10-16,21,732.0,766.63,2.02,-0.104,0.39,0.164,0.114,32586,52829,0.62,0.01
2026-09-24 17:57,49.7,SPY,call,2026-10-09,14,785.0,766.63,1.46,0.159,0.84,0.111,0.114,9281,69993,0.13,0.007
2026-09-24 17:57,49.6,NVDA,put,2026-10-16,21,210.0,223.9,1.93,-0.175,0.2,0.31,0.387,6020,28566,0.21,0.01
2026-09-24 17:57,49.6,MSFT,call,2026-10-16,21,520.0,496.22,3.92,0.234,0.3,0.245,0.395,3009,11764,0.26,0.038
2026-09-24 17:57,49.5,NVDA,call,2026-10-16,21,235.0,223.9,2.67,0.273,0.23,0.299,0.387,3452,48361,0.07,0.015
2026-09-24 17:57,49.3,NVDA,put,2026-10-02,7,215.0,223.9,1.06,-0.151,0.32,0.295,0.387,4219,6908,0.61,0.019
