scan_utc,score,symbol,type,expiry,dte,strike,spot,mid,delta,leverage,iv,rv,volume,open_int,vol_oi,spread_pct
2026-09-08 17:29,54.7,SPY,call,2026-09-30,21,810.0,767.44,0.12,0.019,1.15,0.102,0.128,3962,6764,0.59,0.08
2026-09-08 17:29,54.0,SPY,call,2026-09-30,21,800.0,767.44,0.34,0.048,1.1,0.097,0.128,1385,56173,0.02,0.03
2026-09-08 17:29,53.7,NVDA,call,2026-09-18,9,240.0,225.68,1.19,0.146,0.27,0.355,0.406,17995,81241,0.22,0.008
2026-09-08 17:29,53.7,SPY,call,2026-09-18,9,790.0,767.44,0.24,0.037,1.15,0.099,0.128,1906,61379,0.03,0.041
2026-09-08 17:29,53.6,TSLA,put,2026-09-18,9,350.0,367.61,3.62,-0.207,0.21,0.407,0.587,10132,13912,0.73,0.014
2026-09-08 17:29,53.5,SPY,call,2026-09-18,9,785.0,767.44,0.56,0.083,1.12,0.098,0.128,3538,22194,0.16,0.018
2026-09-08 17:29,53.1,SPY,call,2026-09-18,9,775.0,767.44,2.73,0.306,0.86,0.108,0.128,14800,18838,0.79,0.007
2026-09-08 17:29,53.0,NVDA,call,2026-09-18,9,235.0,225.68,2.14,0.247,0.26,0.353,0.406,12801,43391,0.3,0.009
2026-09-08 17:29,53.0,TSLA,call,2026-09-25,16,385.0,367.61,7.3,0.329,0.17,0.432,0.587,5510,1384,3.98,0.014
2026-09-08 17:29,52.7,TSLA,call,2026-09-18,9,385.0,367.61,4.8,0.269,0.21,0.442,0.587,6980,3595,1.94,0.021
2026-09-08 17:29,52.2,SPY,call,2026-09-18,9,780.0,767.44,1.34,0.176,1.01,0.102,0.128,4310,29103,0.15,0.015
2026-09-08 17:29,52.1,SPY,call,2026-09-25,16,800.0,767.44,0.18,0.028,1.17,0.099,0.128,1133,2014,0.56,0.054
2026-09-08 17:29,51.5,SPY,call,2026-09-18,9,767.0,767.44,6.58,0.539,0.63,0.12,0.128,14204,1956,7.26,0.003
2026-09-08 17:29,51.2,TSLA,call,2026-09-18,9,380.0,367.61,6.28,0.335,0.2,0.442,0.587,6412,8809,0.73,0.008
2026-09-08 17:29,51.2,SPY,call,2026-10-16,37,810.0,767.44,0.78,0.079,0.78,0.108,0.128,1703,11244,0.15,0.013
