scan_utc,score,symbol,type,expiry,dte,strike,spot,mid,delta,leverage,iv,rv,volume,open_int,vol_oi,spread_pct
2026-09-15 17:45,57.7,NVDA,call,2026-09-25,9,220.0,211.53,1.71,0.233,0.29,0.322,0.4,40635,9132,4.45,0.006
2026-09-15 17:45,57.0,SPY,call,2026-09-30,14,780.0,757.18,0.56,0.078,1.06,0.1,0.117,21275,10941,1.94,0.018
2026-09-15 17:45,57.0,SPY,call,2026-10-16,30,800.0,757.18,0.47,0.054,0.86,0.11,0.117,28104,17920,1.57,0.021
2026-09-15 17:45,52.9,SPY,call,2026-10-16,30,790.0,757.18,1.21,0.116,0.73,0.112,0.117,8257,17178,0.48,0.008
2026-09-15 17:45,52.8,SPY,put,2026-09-25,9,730.0,757.18,1.88,-0.11,0.44,0.198,0.117,34226,2297,14.9,0.011
2026-09-15 17:45,52.8,SPY,call,2026-09-30,14,790.0,757.18,0.12,0.02,1.19,0.1,0.117,3727,10800,0.35,0.08
2026-09-15 17:45,52.0,SPY,call,2026-09-25,9,780.0,757.18,0.24,0.036,1.12,0.101,0.117,3853,4450,0.87,0.041
2026-09-15 17:45,51.1,NVDA,call,2026-09-25,9,225.0,211.53,0.82,0.121,0.31,0.323,0.4,7138,13854,0.52,0.036
2026-09-15 17:45,50.8,NVDA,call,2026-10-16,30,220.0,211.53,4.97,0.374,0.16,0.337,0.4,4836,104211,0.05,0.01
2026-09-15 17:45,50.7,SPY,call,2026-10-02,16,785.0,757.18,0.43,0.059,1.02,0.103,0.117,1975,1691,1.17,0.023
2026-09-15 17:45,50.5,MSFT,call,2026-09-25,9,532.5,499.51,0.65,0.058,0.44,0.251,0.415,1503,161,9.34,0.185
2026-09-15 17:45,50.5,SPY,call,2026-10-16,30,797.0,757.18,0.62,0.068,0.82,0.11,0.117,2428,12068,0.2,0.016
2026-09-15 17:45,50.3,SPY,call,2026-10-02,16,790.0,757.18,0.23,0.032,1.08,0.104,0.117,1526,1632,0.94,0.044
2026-09-15 17:45,49.9,SPY,call,2026-10-16,30,794.0,757.18,0.82,0.086,0.79,0.11,0.117,2206,3820,0.58,0.012
2026-09-15 17:45,49.9,SPY,call,2026-09-30,14,785.0,757.18,0.26,0.038,1.14,0.099,0.117,1167,5232,0.22,0.039
