scan_utc,score,symbol,type,expiry,dte,strike,spot,mid,delta,leverage,iv,rv,volume,open_int,vol_oi,spread_pct
2026-07-27 16:02,58.0,SPY,call,2026-08-06,9,767.0,737.42,0.12,0.017,0.98,0.114,0.132,739,11,67.18,0.08
2026-07-27 16:02,55.0,SPY,put,2026-08-04,7,704.0,737.42,0.95,-0.055,0.43,0.216,0.132,6575,49,134.18,0.021
2026-07-27 16:02,54.9,SPY,call,2026-08-14,17,770.0,737.42,0.46,0.055,0.88,0.118,0.132,3403,3524,0.97,0.043
2026-07-27 16:02,54.8,SPY,call,2026-08-21,24,786.0,737.42,0.17,0.022,0.93,0.117,0.132,3061,1729,1.77,0.057
2026-07-27 16:02,54.8,SPY,call,2026-08-07,10,769.0,737.42,0.12,0.017,0.98,0.115,0.132,1998,985,2.03,0.08
2026-07-27 16:02,54.3,SPY,call,2026-08-14,17,776.0,737.42,0.2,0.026,0.97,0.115,0.132,1881,1834,1.03,0.051
2026-07-27 16:02,54.2,SPY,call,2026-08-21,24,775.0,737.42,0.57,0.063,0.81,0.118,0.132,2336,32079,0.07,0.017
2026-07-27 16:02,54.2,SPY,call,2026-08-21,24,780.0,737.42,0.33,0.039,0.88,0.116,0.132,2061,25414,0.08,0.031
2026-07-27 16:02,53.5,SPY,call,2026-08-05,8,780.0,737.42,0.03,0.003,0.82,0.134,0.132,827,13,63.62,0.4
2026-07-27 16:02,53.3,SPY,call,2026-08-21,24,781.0,737.42,0.29,0.035,0.9,0.117,0.132,1982,2257,0.88,0.069
2026-07-27 16:02,53.1,SPY,call,2026-08-21,24,778.0,737.42,0.41,0.048,0.86,0.117,0.132,1955,4337,0.45,0.049
2026-07-27 16:02,53.0,NVDA,call,2026-08-07,10,207.5,197.62,2.36,0.256,0.21,0.417,0.421,7495,1086,6.9,0.025
2026-07-27 16:02,53.0,SPY,call,2026-08-21,24,790.0,737.42,0.12,0.016,0.95,0.119,0.132,2258,18096,0.12,0.08
2026-07-27 16:02,52.9,SPY,call,2026-08-07,10,767.0,737.42,0.18,0.024,0.97,0.116,0.132,1144,844,1.36,0.054
2026-07-27 16:02,52.7,SPY,call,2026-08-21,24,770.0,737.42,1.02,0.1,0.73,0.121,0.132,2052,22478,0.09,0.02
