scan_utc,score,symbol,type,expiry,dte,strike,spot,mid,delta,leverage,iv,rv,volume,open_int,vol_oi,spread_pct
2026-08-19 14:16,52.6,SPY,put,2026-09-18,29,733.0,769.66,3.02,-0.128,0.33,0.167,0.137,16079,2661,6.04,0.007
2026-08-19 14:16,51.1,AAPL,call,2026-09-18,29,330.0,317.3,3.92,0.309,0.25,0.238,0.323,6009,27225,0.22,0.038
2026-08-19 14:16,50.8,SPY,put,2026-09-18,29,730.0,769.66,2.74,-0.115,0.32,0.171,0.137,16796,55334,0.3,0.004
2026-08-19 14:16,49.7,SPY,put,2026-09-18,29,732.0,769.66,2.9,-0.123,0.33,0.168,0.137,11064,27591,0.4,0.01
2026-08-19 14:16,48.5,SPY,call,2026-09-18,29,815.0,769.66,0.33,0.039,0.93,0.107,0.137,1160,12648,0.09,0.031
2026-08-19 14:16,48.4,SPY,put,2026-08-31,11,746.0,769.66,1.16,-0.088,0.59,0.14,0.137,4687,14576,0.32,0.017
2026-08-19 14:16,48.1,SPY,put,2026-08-31,11,760.0,769.66,2.83,-0.237,0.64,0.114,0.137,4779,49100,0.1,0.007
2026-08-19 14:16,47.7,AAPL,call,2026-09-18,29,335.0,317.3,2.79,0.238,0.27,0.241,0.323,1527,13878,0.11,0.072
2026-08-19 14:16,47.5,SPY,call,2026-09-30,41,800.0,769.66,2.58,0.194,0.58,0.114,0.137,476,86609,0.01,0.012
2026-08-19 14:16,47.5,SPY,call,2026-09-18,29,800.0,769.66,1.36,0.131,0.74,0.11,0.137,596,31323,0.02,0.022
2026-08-19 14:16,47.5,SPY,call,2026-09-11,22,798.0,769.66,0.89,0.101,0.88,0.106,0.137,964,661,1.46,0.034
2026-08-19 14:16,47.4,SPY,put,2026-09-30,41,750.0,769.66,7.05,-0.252,0.27,0.143,0.137,4769,3454,1.38,0.003
2026-08-19 14:16,47.2,SPY,call,2026-08-28,8,785.0,769.66,0.74,0.106,1.09,0.101,0.137,1515,3896,0.39,0.013
2026-08-19 14:16,46.9,SPY,call,2026-08-31,11,800.0,769.66,0.1,0.015,1.22,0.099,0.137,458,10511,0.04,0.105
2026-08-19 14:16,46.6,AAPL,call,2026-08-28,8,330.0,317.3,0.97,0.137,0.45,0.233,0.323,803,6859,0.12,0.051
