scan_utc,score,symbol,type,expiry,dte,strike,spot,mid,delta,leverage,iv,rv,volume,open_int,vol_oi,spread_pct
2026-07-29 15:36,51.1,NVDA,call,2026-08-07,8,200.0,192.43,2.55,0.287,0.22,0.428,0.416,10095,10705,0.94,0.008
2026-07-29 15:36,50.9,SPY,call,2026-08-21,22,775.0,734.85,0.4,0.045,0.84,0.12,0.132,1586,32165,0.05,0.025
2026-07-29 15:36,50.8,SPY,call,2026-08-21,22,778.0,734.85,0.29,0.034,0.87,0.12,0.132,2385,7072,0.34,0.035
2026-07-29 15:36,50.8,SPY,call,2026-08-07,8,760.0,734.85,0.38,0.044,0.86,0.129,0.132,3715,11611,0.32,0.053
2026-07-29 15:36,49.9,SPY,call,2026-08-31,32,780.0,734.85,0.65,0.064,0.73,0.122,0.132,1763,20907,0.08,0.016
2026-07-29 15:36,49.9,NVDA,call,2026-08-21,22,200.0,192.43,5.05,0.382,0.15,0.416,0.416,7179,34051,0.21,0.02
2026-07-29 15:36,49.7,SPY,call,2026-08-21,22,771.0,734.85,0.64,0.068,0.78,0.123,0.132,1761,5185,0.34,0.031
2026-07-29 15:36,49.7,SPY,call,2026-08-21,22,780.0,734.85,0.23,0.028,0.88,0.121,0.132,1119,24624,0.05,0.043
2026-07-29 15:36,49.6,SPY,call,2026-08-21,22,781.0,734.85,0.21,0.025,0.9,0.12,0.132,1580,2120,0.75,0.049
2026-07-29 15:36,49.4,SPY,put,2026-08-21,22,704.0,734.85,4.21,-0.172,0.3,0.201,0.132,18223,20326,0.9,0.007
2026-07-29 15:36,49.4,NVDA,call,2026-08-07,8,205.0,192.43,1.4,0.169,0.23,0.425,0.416,6230,9510,0.66,0.007
2026-07-29 15:36,49.4,SPY,put,2026-08-21,22,700.0,734.85,3.7,-0.15,0.3,0.207,0.132,19729,45551,0.43,0.005
2026-07-29 15:36,49.2,NVDA,put,2026-08-21,22,180.0,192.43,3.4,-0.239,0.14,0.431,0.416,6765,46711,0.14,0.029
2026-07-29 15:36,49.1,NVDA,put,2026-08-07,8,185.0,192.43,2.55,-0.258,0.19,0.441,0.416,5982,14497,0.41,0.008
2026-07-29 15:36,49.1,SPY,call,2026-08-21,22,770.0,734.85,0.71,0.074,0.77,0.123,0.132,866,23899,0.04,0.028
