scan_utc,score,symbol,type,expiry,dte,strike,spot,mid,delta,leverage,iv,rv,volume,open_int,vol_oi,spread_pct
2026-07-15 17:57,59.5,SPY,call,2026-07-23,7,769.0,754.29,0.27,0.05,1.43,0.081,0.13,9495,49,193.78,0.038
2026-07-15 17:57,55.6,SPY,call,2026-08-28,43,776.0,754.29,5.02,0.299,0.45,0.122,0.13,5026,15,335.07,0.006
2026-07-15 17:57,55.5,SPY,call,2026-07-23,7,768.0,754.29,0.34,0.065,1.44,0.081,0.13,5013,87,57.62,0.059
2026-07-15 17:57,55.0,SPY,call,2026-07-23,7,770.0,754.29,0.21,0.04,1.42,0.081,0.13,8693,548,15.86,0.047
2026-07-15 17:57,54.1,SPY,put,2026-08-21,36,718.0,754.29,4.12,-0.152,0.28,0.171,0.13,36346,1248,29.12,0.005
2026-07-15 17:57,54.0,AAPL,call,2026-08-21,36,345.0,327.58,4.62,0.296,0.21,0.262,0.287,78497,93187,0.84,0.032
2026-07-15 17:57,53.0,SPY,call,2026-07-23,7,771.0,754.29,0.17,0.032,1.4,0.082,0.13,2217,71,31.23,0.057
2026-07-15 17:57,52.4,AAPL,call,2026-08-07,22,350.0,327.58,2.31,0.189,0.27,0.283,0.287,16136,670,24.08,0.087
2026-07-15 17:57,49.9,NVDA,call,2026-07-24,8,215.0,209.63,2.88,0.337,0.25,0.366,0.413,22525,31209,0.72,0.01
2026-07-15 17:57,49.6,NVDA,call,2026-08-21,36,220.0,209.63,6.35,0.384,0.13,0.391,0.413,14020,50499,0.28,0.016
2026-07-15 17:57,49.4,NVDA,call,2026-07-24,8,220.0,209.63,1.58,0.2,0.27,0.368,0.413,9305,18046,0.52,0.013
2026-07-15 17:57,49.3,AAPL,call,2026-08-28,43,345.0,327.58,5.5,0.32,0.19,0.265,0.287,1837,59,31.14,0.055
2026-07-15 17:57,49.0,SPY,put,2026-08-21,36,714.0,754.29,3.69,-0.136,0.28,0.176,0.13,24034,10771,2.23,0.005
2026-07-15 17:57,48.6,AAPL,call,2026-07-24,8,337.5,327.58,1.75,0.218,0.41,0.244,0.287,2351,162,14.51,0.057
2026-07-15 17:57,48.4,SPY,call,2026-07-24,8,755.0,754.29,4.28,0.504,0.89,0.093,0.13,13114,5023,2.61,0.005
