scan_utc,score,symbol,type,expiry,dte,strike,spot,mid,delta,leverage,iv,rv,volume,open_int,vol_oi,spread_pct
2026-07-16 17:51,57.0,SPY,call,2026-07-27,10,769.0,751.62,0.41,0.069,1.29,0.088,0.13,982,70,14.03,0.025
2026-07-16 17:51,56.8,SPY,call,2026-07-27,10,768.0,751.62,0.52,0.085,1.24,0.089,0.13,1022,64,15.97,0.019
2026-07-16 17:51,54.5,SPY,call,2026-07-27,10,795.0,751.62,0.03,0.003,1.02,0.122,0.13,194,1,194.0,0.4
2026-07-16 17:51,54.3,SPY,call,2026-07-24,7,770.0,751.62,0.2,0.032,1.24,0.091,0.13,1503,10547,0.14,0.051
2026-07-16 17:51,54.2,NVDA,call,2026-07-24,7,215.0,206.62,2.02,0.245,0.25,0.392,0.416,29243,34997,0.84,0.005
2026-07-16 17:51,53.9,NVDA,put,2026-07-27,10,200.0,206.62,2.63,-0.277,0.22,0.364,0.416,6294,264,23.84,0.034
2026-07-16 17:51,53.8,SPY,put,2026-07-24,7,745.0,751.62,2.62,-0.265,0.76,0.113,0.13,13062,3687,3.54,0.004
2026-07-16 17:51,53.1,SPY,call,2026-07-28,11,778.0,751.62,0.08,0.016,1.39,0.088,0.13,249,68,3.66,0.118
2026-07-16 17:51,52.8,SPY,call,2026-07-24,7,768.0,751.62,0.33,0.053,1.23,0.092,0.13,1067,1457,0.73,0.031
2026-07-16 17:51,52.7,SPY,call,2026-07-24,7,760.0,751.62,1.87,0.244,0.98,0.105,0.13,5543,9562,0.58,0.011
2026-07-16 17:51,52.6,SPY,call,2026-07-24,7,767.0,751.62,0.42,0.068,1.22,0.094,0.13,1234,2421,0.51,0.048
2026-07-16 17:51,52.4,SPY,call,2026-07-24,7,765.0,751.62,0.68,0.105,1.16,0.096,0.13,1428,4564,0.31,0.015
2026-07-16 17:51,52.1,SPY,put,2026-07-24,7,750.0,751.62,4.0,-0.412,0.78,0.102,0.13,12526,11251,1.11,0.008
2026-07-16 17:51,52.1,NVDA,call,2026-07-24,7,220.0,206.62,1.06,0.134,0.26,0.394,0.416,15704,20825,0.75,0.019
2026-07-16 17:51,51.3,SPY,call,2026-08-07,21,783.0,751.62,0.59,0.072,0.9,0.108,0.13,702,315,2.23,0.017
